no,meaning,base,past,pp
1,切る,cut,cut,cut
2,打つ,hit,hit,hit
3,置く,put,put,put
4,読む,read,read,read
5,据える,set,set,set
6,〜になる,become,became,become
7,来る,come,came,come
8,走る,run,ran,run
9,持ってくる,bring,brought,brought
10,買う,buy,bought,bought
11,つかまえる,catch,caught,caught
12,教える,teach,taught,taught
13,思う・考える,think,thought,thought
14,建てる,build,built,built
15,感じる,feel,felt,felt
16,忘れる,forget,forgot,forgot
17,得る・〜になる,get,got,got
18,保つ・飼う,keep,kept,kept
19,離れる・去る,leave,left,left
20,貸す,lend,lent,lent
21,失う・負ける,lose,lost,lost
22,会う,meet,met,met
23,送る,send,sent,sent
24,座る,sit,sat,sat
25,眠る,sleep,slept,slept
26,聞く,hear,heard,heard
